A,C
"Concerning the end with the `Cannot access memory at address 0x8048487`, it's my bad, it's due to a breakpoint which I typed the address by hand (should have been `0x08048487`), you can forget about those warnings, they're, I actually get a proper shell when I don't mess things up. Effectively I changed the shell code to a 24 bytes one (I've been doing many tests), for a total of 304 bytes (the required number to get a SIGSEGV). The problem is: why case 1 & 3 do not work while case 2 works (in gdb) ? Thanks.",1
"<p>I am not very knowledgeable about CA certificates, but I thought these things mainly said
""The public key for bank X is Y, and this is verified by CA Z"".</p>

<p>Once you've bought this certificate, there is no need to be in touch with the CA, and thus they have no need to keep their generating computers connected to the internet, no?
Then why were hackers able to steal the private keys from Comodo and DigiNotar ?
(there must have been a good reason to keep those computers connected to the internet?)</p>
",1
"@JohnSebastian I dont know who you are, but i will find you. within this course you get to understand much more than that. you would learn the bread and butter of exploit development (i.e. buffer over flows). sure it feels a little script kiddy to start with, but thats the easy stuff. if you want to learn this stuff by your self thats easy, the hard part is practice. to write exploits, good onces, you need to understand what you are looking for....this is a really in depth conversation to have in comments...",1
"wow, a gold badge! I've just noticed. Congratulations! :) You deserve it. As I said already, I saw the effort(in more iterations) that you have put into this answer. Your testing code is really clever! I've had a hard time deciding about the answers, and I wanted to reward both, yours and mr.spuratic's answers. Since you already got so many up-votes(mine included of course). Rewarding mr.spuratic's answer with the bounty and the accepted flag seemed like the best thing to restore balance in the Universe! ;-)",1
"@TidalWave sure, the book of infinity is a joke program, both in attitude (insistance on reproducing the same meaningless ""book"", and not just random content) and in practice, exactly as you described. That being said, if I were to take my suggestion seriously, I'd defend it stating that (1) the OP mentioned HTTrack in a way that suggests single users mass-downloading a website rather than a distributed crawler, and that (2) one could use the book of infinity to generate a tarpit, similar to OpenBSD's spamd.",1
"The only DTMF you'll see in a Wireshark capture comes from various protocols that have ""send this DTMF tone"" messages in them or protocols that actually send waveforms.  In neither of those cases can you do a simple ""convert the file to multimon raw format""; you would have to understand the protocols in question and somehow extract the waveforms.  I don't have time to do the analysis for you; you'll need to give a *much* more detailed task description in order for anybody to figure out what needs to be done.",1
"@JeffStice-Hall: While there are probably (hard) ways to better find out if the CA is real and trustable I don't think phone call is a way, because you cannot really verify who is at the end of the phone. And even an office can be faked, although this is more costly then just a fake website. And perfect trust is simply not possible, so one has to decide when to stop checking and start believing that everything is fine. But yes, no one has to trust but if you don't trust anybody live usually gets even harder.",1
"<p>Is there any method of programmatically determining the current security zone settings for Internet Explorer?</p>

<p>I'd like to know when my site will have the XMLHttpRequest ActiveX control blocked due to IE security policy, but before the site actually tries to create it and thus causes the yellow bar to appear up the top (saying ""To help protect your security, Internet Explorer has restricted this webpage from running scripts or ActiveX controls that could access your computer."")</p>

<p>Thanks.</p>
",1
"One of my older laptops actually makes a humming sound that changes based on what I am doing. I found that encrypting `/dev/zero` and writing to `/dev/null` with OpenSSL makes a different sound if 128-bit AES is used, as opposed to 256-bit AES. I could also tell by the sound when I was scrolling on a web page, and even if that web page had active content. I was eventually able to distinguish Wikipedia from an old Flash site. If my own human ears could do that, just imagine what dedicated technology could do!",1
"Passed today! Need to find a CISSP willing to vouch or use another method but it feels good. I took an ISC\^2 boot camp for preparation which helped a lot. Other than that I read 3 chapters of the 11th hour study guide and did roughly 500-600 practice questions. That's a lot less but than I probably should have but I do have a background as an ISSO and penetration tester that I leaned heavily on. If I had to do it again and didn't have the luxury of the boot camp, I'd read the Sybex book from cover to cover.",1
